,ride_id,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
149830,37E35FADF7BD6F74,Amsterdam Ave & W 131 St,E 106 St & 1 Ave,40.816355,-73.954295,40.7892529,-73.93956237,1
74662,E00A7BDF68009FA8,W 20 St & 7 Ave,8 Ave & W 38 St,40.74238787,-73.99726235,40.75461,-73.99177,1
22573,331538E9C825476D,Walton Ave & E 168 St,E 158 St & Melrose Ave,40.83649,-73.918316,40.822215,-73.914688,1
28396,EF6F3F92C576D179,Union St & Nevins St,Carroll St & Washington Ave,40.679099441,-73.987630963,40.6686744,-73.9618148,1
83673,1343F15EC24F0FF8,8 Ave & W 33 St,8 Ave & W 38 St,40.751551,-73.993934,40.75461,-73.99177,1
96298,D5B538BBA799A485,Greene Ave & Grandview Ave,Clinton Ave & Flushing Ave,40.709697,-73.907856,40.69794,-73.96986848,1
27194,CE234FC5509C2766,W 49 St & 8 Ave,W 43 St & 10 Ave,40.76227205,-73.98788205,40.76009437,-73.99461843,1
55876,7CCBAB8B54557266,E 20 St & Park Ave,W 20 St & 10 Ave,40.73827428,-73.98751968,40.745686,-74.005141,1
85750,D48917720F471581,E Houston St & Columbia St,E 15 St & 3 Ave,40.71965611,-73.978500843,40.734232,-73.986923,1
52141,8853393AE2F257AE,Broadway & W 61 St,W 54 St & 9 Ave,40.77003010255044,-73.9819684624672,40.76584941,-73.98690506,1
107613,C7289ED72F99F283,W 22 St & 10 Ave,Sullivan St & Washington Sq,40.746621132,-74.003847718,40.73047747,-73.99906065,1
186239,D45411490B1C46B9,Lenox Ave & W 115 St,Adam Clayton Powell Blvd & W 141 St,40.8011939,-73.9500739,40.819241,-73.941057,1
3262,E6F4C37F3DB14380,E 59 St & Madison Ave,Central Park S & 6 Ave,40.763742447,-73.970935583,40.76590936,-73.97634151,1
135636,B2B224584893A2A3,Henry St & Grand St,Allen St & Hester St,40.714211,-73.981095,40.71605866,-73.99190759,1
63672,690F5DEA8E497C8D,W 54 St & 11 Ave,E 40 St & 5 Ave,40.768333,-73.992573,40.752062307,-73.9816324043,1
12891,1B00F1FCA04E236C,43 Ave & 42 St,Skillman Ave & 43 Ave,40.74534682580983,-73.9219419658184,40.74653761978055,-73.93215849995613,1
50605,B35E76F7C8E4A23A,W 54 St & 11 Ave,W 54 St & 9 Ave,40.768333,-73.992573,40.76584941,-73.98690506,1
144366,1DB63B4746F66692,E 33 St & 5 Ave,E 9 St & 5 Ave,40.747337699,-73.984161735,40.73275887045087,-73.99581670761108,1
59367,C5697814B049AD43,W 44 St & 5 Ave,FDR Drive & E 35 St,40.754749417,-73.980549812,40.744219,-73.97121214,1
86973,F3BFEA5D27AEBA62,Vesey St & Church St,E 15 St & 3 Ave,40.71221958009051,-74.01047229766846,40.734232,-73.986923,1
135654,80C672AF34E0941D,E 30 St & Park Ave S,E 9 St & 5 Ave,40.74444921,-73.98303529,40.73275887045087,-73.99581670761108,1
17843,9775DD97589AA587,W 33 St & 10 Ave,Broadway & E 21 St,40.753878355,-73.999004722,40.73988840858996,-73.98958593606949,1
190201,3457EE5E885588A5,Madison Ave & E 26 St,W 41 St & 8 Ave,40.742684734875695,-73.98671329021454,40.75640548,-73.9900262,1
7130,6ED7C992E0857A0C,E 13 St & Avenue A,1 Ave & E 16 St,40.72966729392978,-73.98067966103554,40.73221853,-73.98165557,1
105813,5DE5439B268EE8B1,W 22 St & 10 Ave,12 Ave & W 125 St,40.74691959,-74.00451887,40.818299,-73.960405,1
7188,CD02751B2512512E,44 Dr & Jackson Ave,Central Park S & 6 Ave,40.74718234,-73.9432635,40.76590936,-73.97634151,1
77602,B6275E0E4FB3FAB7,44 Dr & Jackson Ave,Vernon Blvd & 47 Rd,40.74718234,-73.9432635,40.7449067,-73.9534573,1
